Fecha,Texto
2024-11-01 18:32:40,"Hoy mi hermana (en primer plano en la foto) me ha reclutado para ir a ayudar a los damnificados por la DANA en las poblaciones al sur de Valencia. Y allá que nos hemos ido con agua, con comida, y con ropa. Ella, yo, y muchos miles de valencianos más.

En la foto, mi hermana y yo cruzando la pasarela peatonal a la altura de La Torre, que es una de las pocas formas de cruzar el nuevo cauce del río, tanto de ida, como de vuelta. En la caminata de ida, impresiona cruzarte con la gente que vuelve con calzado y pantalones cubiertos por el barro, lo cual comienza a dar una idea de lo que encontraremos al llegar. En la caminata de vuelta, todos traeremos barro, en nuestra ropa, y en nuestra mente. 

Lo mejor del día: ver un enorme río de muchas, muchísimas personas que, de motu propio, y de forma desinteresada, llevaban, a los más desfavorecidos, todo aquello que buenamente podían, tan solo porque habían sentido la necesidad de ayudar. Lo peor del día: ver la devastación, que es surrealistamente real, y a las personas que están sufriendo las consecuencias de esa devastación, las cuales constantemente muestran enorme agradecimiento por toda aquella ayuda que les va llegando, por parte de las fuerzas de seguridad, servicios sanitarios y de emergencias, empresas, y por parte de la ciudadanía."
2024-10-30 21:01:29,"Ayer en las clases del Ciclo Formativo de Grado Superior en Desarrollo de Aplicaciones Multiplataforma en @tamecentroformacion estuvimos construyendo un sistema de compartición de pantalla a través de una red (como en Zoom) - hoy he cogido ese software de clase y lo he modificado para crear un gráfico de anillo representando los colores de lo que aparezca en pantalla, por ejemplo, una película. ¿Con qué película he hecho la prueba que publico?"
2024-10-30 10:13:49,Reprogramación en Python del software de simulación de peces en un acuario que hice hace un par de años en Javascript
2024-10-29 10:55:18,"Hoy en clase del Máster en Diseño Web y Programación en @escuelamastermedia, ejercicio de desarrollo de aplicaciones web Full Stack, en el que hemos programado desde cero una web con tienda online desde la que se pueden realizar compras y pedidos, y un panel de control en el que esos pedidos pueden ser gestionados."
2024-10-27 11:20:06,"Proyecto de fin de semana: jugando con fractales en Python para hacer una versión, con un poco de aleatoriedad, del Arbol de Pitágoras."
2024-10-25 12:00:11,"Anoche, en la Gala del Comerç de Mislata, donde se rindió homenaje a los establecimientos más emblemáticos de la ciudad, entre los que se encuentra el Centro de Formación TAME, en el que tengo el placer de impartir el Ciclo Formativo de Grado Superior en Desarrollo de Aplicaciones Multiplataforma"
2024-10-22 18:52:35,"En clase hoy, programando una aplicación cliente-servidor de videoconferencia, utilizando websockets (js en el cliente, python en el servidor), en la asignatura Procesos y Servicios del Ciclo Formativo en Desarrollo de Aplicaciones Multiplataforma"
2024-10-20 18:34:14,Proyecto de modelado facial con loops en Blender
2024-10-11 08:07:10,"Hacía tiempo que tenía ganas de programar algo como esto: espirógrafo en HTML5 canvas y Javascript - cada vez que se recarga la página, radios y velocidades se vuelven aleatorios, con lo cual cada recarga genera un dibujo completamente nuevo - este fin de semana subiré algún vídeo largo a mi canal de Youtube"
2024-09-30 14:51:43,"Hoy, en clase de Blender Inicial en @escuelamastermedia - un poco de render de tazas de café"
2024-09-30 11:48:20,"Flying out of the sun
The smell of toast is in the air
When there's a job to be done
The Flying Toasters will be there!
And it's flap! Flap! Flap!
Now help is on the way
A victory song they si-ing
We pop up to save the day
On flying toaster wings!

In brightest day or after dark
When times of trouble are at hand
The flying toasters set a spark
And hope is blazing 'cross the land!
And it's flap! Flap! Flap!
Salvation from above
A precious gift they bri-ing
Gleaming angels of love
On flying toaster wings!

Hoy, en el curso de Blender Inicial en @escuelamastermedia un tributo a un clásico de los 90"
2024-09-26 15:01:04,"Hoy, en el curso de Blender Nivel Inicial en @escuelamastermedia - modelado de entornos y de personajes en 3D con Blender y Cycles"
2024-09-04 22:12:11,"Próximo curso: Desarrollo web en entorno servidor

Tecnologías: php,mysql,js

Desarrolla aplicaciones web robustas del lado del servidor. Aprende a utilizar tecnologías como Node.js, PHP y bases de datos para construir la lógica de negocio y gestionar la interacción con el cliente.

Características del curso

-Curso online con clases en directo mediante videoconferencia
-Clases grabadas a disposición de los alumnos del curso
-Todo el código del curso disponible en GitHub para los alumnos del curso
-Apuntes del curso en PDF
-Soporte al alumno mediante correo electrónico/videoconferencia

Desarrollo del curso: Segunda mitad de Septiembre

Más información en: https://comoprogramar.es/?c=0612"
2024-08-31 10:37:24,"Un poco de 3D para acabar el verano (no es cierto, llevo unos cuantos días haciendo bastante 3D 😂) - probando la nueva iluminación global rápida en Blender 4.2 con Eevee."
2024-08-22 10:43:46,"Timelapse de una semana de tiempo en la simulación de la ciudad virtual que estoy programando. Al verse en cámara rápida se aprecia mejor el movimiento de los agentes (dormir, comer, descanso, WC, trabajar, ocio...) A la izquierda la vista esquemática con path finding en color naranja, y a la derecha una visualización con sprites de 8x8 pixeles."
2024-08-20 15:14:50,"Un poco de Matrix veraniego en el escritorio - Simulación con agentes que siguen unas pautas de comportamiento - dormir de 22 a 8, desayunar de 8 a 9, comer de 13 a 14, cenar de 20 a 21, y el resto del tiempo, ocio (con pausas para ir al WC) - cada agente vive en su propia casa, y de vez en cuando visitan a sus vecinos (esto realmente es un fallo en el algoritmo de path finding implementado en el programa, pero mira, queda sociable de forma accidental) - y, ¿los agentes tienen trabajo o empleo? - pues... no, ¡estamos en agosto! - en una de las siguientes fases de desarrollo les tengo que permitir trabajar, pero la decisión no está exenta de dilema ético: ¿eso les hará más felices, o menos? no se dará el caso de que me ponga a hacer un Matrix casero para acabar amargándoles la vida a mis ciudadanos virtuales 😂"
2024-08-17 17:16:35,"Encuentros musicales en la tercera fase - Retocando un software de aprendizaje de piano que programé hace un par de años, he acabado creando un software de creación musical automática... un poco ""espacial"" (o ""terrorífica"", según se mire)"
2024-08-16 16:48:40,"Un poco de arte digital: pintura automática usando un efecto similar al de un torno, pero en un lienzo informático"
2024-08-15 19:38:32,"Un poco más de Python lúdico y veraniego - Tres en raya (tic tac toe) pero en un tablero más grande - En este video, en versión de cero jugadores"
2024-08-13 16:40:18,"De cuando en cuando, la programación tiene sus cosas (visualmente) bonitas - aprovechando el verano para experimentos y proyectos personales, en este caso con Python y OpenCV"
2024-08-08 18:16:49,"Extensión del miniproyecto de verano (que se está convirtiendo en ""no tan mini"") - a partir del generador de mapas planetarios de la semana pasada, he creado un planeta completo en 3D en base a un mapa de 16384x8192 segmentos (12 GB al guardarlo en base de datos SQLite, terreno + nubes), y un visualizador de la posición (latitud + longitud) en la esfera del planeta, de la posición en formato isométrico, y un marcador sobre el mapa equirrectangular del planeta completo. ¡Ya hace tiempo que quería hacer algo así! Así que ahora mismo tengo un pequeño planeta completo, pero inhabitado. Próximos pasos: integrarle el sistema de vida artificial que hice hace dos meses en el último curso de inteligencia artificial que impartí, para añadirle ""habitantes"" a este planeta. Y crear un mapa de más resolución. Y mejorarlo visualmente. Y mejorar también el rendimiento (ahora va demasiado lento). Y hacerlo accesible online. Y enlazarlo en tiempo real con Blender para aprovechar la brutal calidad gráfica de Cycles. ¿Quizás un juego multijugador en línea? Y quizás abrirlo en GitHub para que otros desarrolladores puedan hacer sus forks y participar en el desarrollo. Y... demasiadas cosas quiero hacer yo, ya veremos cuánto cunden el tiempo y los recursos."
2024-08-05 15:07:29,"Miniproyecto veraniego: creador de mapas planetarios (color difuso + desplazamiento) con proyección esférica, hecho en Python, más su aplicación al generador de planetas 3D hecho en Blender, que publiqué hace un par de meses, actualizado a la versión 4.2"
2024-07-31 20:56:26,Alma Mater
2024-07-23 10:45:30,"Enésima implementación de ""El Juego de la Vida"" de John Conway, pero permitiendo al usuario interactuar con la creación de las células, y con efecto de desaparición progresiva, que le da a la animación un aspecto más orgánico."
2024-07-22 20:27:43,"La nueva normativa en cuanto a Formación Profesional Dual propone nuevos retos, entre los cuales encontramos que los alumnos realizarán Formación Dual desde primer curso y que las empresas participarán en la formación y en la evaluación de los alumnos en base a resultados de aprendizaje, entre otros.

Para afrontar esos retos, he desarrollado una herramienta informática para ayudar a los centros, tutores, docentes, y empresas, a gestionar esta formación y evaluación, mediante la creación de un espacio común en el que unir a todos los actores implicados en llevar a buen puerto la formación dual.

Este es un pequeño fragmento de esa aplicación."
2024-07-18 12:05:37,"Finalizando el curso de Desarrollo con React en Escuela Mastermedia creando una aplicación de gestión empresarial con el stack MERN (MySQL, Express, React y Node.js)"
2024-07-16 21:46:17,"Desarrollo de un software de visualización de lentes gravitatorias mediante la distorsión de la trayectoria de la luz por la fuerza de la gravedad por parte de cuerpos con gran masa, como planetas - la cantidad de distorsión está temporalmente exagerada por motivos ilustrativos."
2024-07-09 11:49:46,"Hoy, en clase de Python en @escuelamastermedia , desarrollando aplicaciones de escritorio con Python - en el ejemplo de la imagen, una aplicación que recorre el contenido de una serie de discos duros con la librería OS, los introduce en una base de datos SQLite, y genera gráficas con matplotlib para cada disco duro, con su contenido, como parte de una herramienta más amplia de gestión de múltiples discos duros"
2024-07-06 11:17:55,"Un año más, he tenido el placer y el privilegio, como parte del claustro del Máster en Patrimonio Virtual de la Universidad de Alicante, de participar en el Congreso de Finalización de curso - muchas gracias tanto a organizadores, como a ponentes, como a participantes, y desde luego gracias a los alumnos y felicidades por la elevada calidad de sus proyectos!"
2024-07-03 22:32:40,"Lanzamiento de la primera versión de https://microblog.es - un servicio de blogging en la nube, pensado para permitir a los usuarios crear un blog de una forma mucho más sencilla y rápida que con otras herramientas."
2024-07-02 18:38:13,"Desarrollo de un software de creación de imágenes de alta profundidad de color en base a la acumulación de información en una exposición prolongada - al gestionar la imagen mediante software, se puede ir bastante más allá de los 32 bit por canal de los formatos HDR y EXR, permitiendo aclarar imágenes muy oscuras. La imagen que se muestra en el video ha sido tomada casi a oscuras."
2024-07-01 11:39:01,"Proyecto de domingo noche: construcción 3d de una nube de puntos (en Aframe.io) a partir de la detección de profundidad (zdepth en mapa de grises) de un par estereoscópico de imágenes que representan el paralaje de la visión humana - lo que vemos en el video es un timelapse, ya que el algoritmo por el momento es bastante ineficiente, en breve más novedades sobre este desarrollo"
2024-06-11 14:10:16,"Hoy, en la última clase del curso de Inteligencia Artificial en @escuelamastermedia desarrollo de un agente de IA en una interfaz natural utilizando librerías de Python"
2024-06-02 23:20:23,"Representación visual de un pequeño sistema de vida artificial en el cual cada individuo basa su comportamiento en el cumplimiento, por prioridades, de una serie de necesidades básicas"
2024-05-28 17:15:57,Simulación de la atmósfera y el terreno de un pequeño planeta usando una combinación de microdesplazamiento y materiales volumétricos en Blender
2024-05-25 21:33:15,"Variación sobre uno de los ejercicios de modelado orgánico de caras basado en loops, desarrollado en el último curso de Blender Avanzado en @escuelamastermedia"
2024-05-22 09:08:43,Ampliación de la librería desarrollada en la última sesión del curso de Big Data en @escuelamastermedia y aplicación para la representación de datos en otro escenario en el que es necesario visualizar claramente grandes cantidades de datos de forma cronológica: Analítica web
2024-05-20 23:01:39,"Hoy, en la última clase del curso de Big Data en @escuelamastermedia , desarrollo desde cero de una librería para visualizar fácilmente la distribución cronológica de grandes cantidades de datos, aún cuando estos se expanden a lo largo de varios años."
2024-05-14 14:54:49,"Demostración en funcionamiento de un sistema de visión artificial que reconoce formas geométricas (y realmente muchos otros tipos de geometría) en base a un proceso de entrenamiento con feedback inmediato. En el video podemos ver como el conocimiento del sistema se va ampliando a medida que le enseñamos nuevas formas y les añadimos una etiqueta, y el sistema es capaz de recordar e identificar correctamente (aun teniendo un conjunto muy limitado de neuronas) cada uno de los objetos sobre los cuales ha recibido entrenamiento."
2024-05-09 21:39:26,"Desarrollo de un software en Javascript que representa y visualiza, en tiempo real, el concepto de neurociencia de ""Neurons that fire together, wire together"", demostrando, a partir de un conjunto limitado de neuronas artificiales (512) que los mismos conjuntos de neuronas se activan en presencia de cada uno de los estímulos - para este ejemplo, tres formas geométricas básicas a modo ilustrativo. Esto nos permite, en un sistema de inteligencia artificial, implementar las mismas estrategias de aprendizaje que encontramos en el cerebro biológico."
2024-05-05 21:20:36,"Jugando con mi hijo a ""Starship"", el juego multijugador en red que hice anteriormente en este curso como ejercicio para mis alumnos de los ciclos formativos de DAM y DAW - sobre una parte de cliente realizada en Javascript y HTML5 Canvas, se comunica mediante websockets con un servidor de sockets programado en Python sobre un mini-servidor dedicado. Calculo que lo daré de baja a final de curso! Pero mientras tanto se puede jugar en modo multijugador aqui: https://jocarsa.com/go/starship - flechas para moverse, barra espaciadora para disparar - Todo el código, como de costumbre, está abierto en mi cuenta de GitHub. Creo que hay pocas cosas en la vida que den más satisfacción que el hecho de que a mi hijo le guste jugar a un juego que he programado."
2024-05-02 21:30:28,Representación visual del proceso de entrenamiento de una red neuronal correspondiente a un sistema de visión artificial.
2024-04-26 22:45:02,"Modelado de tipo hard surface con Blender, para creación de objetos industriales - https://jocarsa.com"
2024-04-25 20:17:27,Estudio de modelado poligonal con loops de una cabeza humana lowpoly - creación de avatares virtuales para videojuegos y entornos inmersivos - https://jocarsa.com
2024-04-23 20:17:24,Representación gráfica de un patrón de bloques de 2x2 pixeles para las clases impartidas esta semana sobre programación de redes neuronales y machine learning para visión artificial
2024-04-21 23:36:13,"Desarrollo de un programa de simulación de un sistema de partículas con cálculos de atracción independientes para cada una de las partículas, para un proyecto en el que estaré participando en los próximos meses"
2024-04-20 11:49:51,"Juego de tipo ""¿Qué prefieres?"" desarrollado durante las clases de esta semana en @escuelamastermedia - puedes probarlo, en PC o en móvil/tableta, en la web: https://aobe.eu/"
2024-04-11 15:24:55,"📚 ¡Atención a todos los apasionados de la programación en C++ y C! 🚀 ¿Quieres llevar tus habilidades al siguiente nivel? No busques más, ¡tenemos los libros perfectos para ti! 📖💡

1️⃣ ""Aprende programación con C++: Desarrolla tus propias aplicaciones"" 🖥️💡 Descubre cómo dominar C++ desde cero y crear tus propias aplicaciones impresionantes. [Enlace en la biografía]

2️⃣ ""C++: Aprende a programar de forma práctica"" 💻📝 Sumérgete en proyectos prácticos y ejemplos reales para mejorar tus habilidades en C++. [Enlace en la biografía]

3️⃣ ""Aprende programación con C: Desarrolla tus propias aplicaciones"" 📱💻 Domina el arte de la programación en C y crea aplicaciones funcionales desde cero. [Enlace en la biografía]

🔥 Estos libros están llenos de conocimientos prácticos, ejercicios desafiantes y consejos de expertos para ayudarte a convertirte en un maestro de la programación en C++ y C.

🛒 ¡Consíguelos ahora en Amazon y lleva tu carrera en programación al siguiente nivel! ¡No te lo pierdas! 👆 [Enlace en la biografía]

¡Etiqueta a tus amigos programadores para que no se pierdan esta oportunidad de aprender y crecer juntos en el mundo de la tecnología! 💻✨"
2024-04-08 20:28:02,p'a l'insta
2024-04-06 22:16:28,"Proyecto de sábado: un ""piedra papel o tijera infinito"" en Javascript. Puedes probarlo en https://jocarsa.com/go/piedrapapeltijera/ - puedes encontrar el código en mi cuenta de GitHub"
2024-04-03 09:43:36,"Proyecto de primera fase de diseño generativo utilizando modelado paramétrico 100% Python, para generar un número prácticamente ilimitado de versiones de un producto industrial (una estantería en el ejemplo), en este caso usando una aproximación de fuerza bruta, para una posterior fase de selección/validación"
2024-03-20 10:09:29,"Uno de los ejercicios realizados durante los talleres impartidos en este fin de semana pasado en la Universidad de Alicante, en el Máster en Patrimonio Virtual, en el@que estuvimos analizando tecnologías como Leap Motion/Ultraleap para interactuar con entornos virtuales usando nuestras propias manos."
2024-03-19 12:54:33,"Primer prototipo de un software de composición musical operable a través de un simple navegador web - próximamente, cálculo correcto de plicas, ganchos y barras"
2024-03-16 20:07:33,"Este fin de semana he tenido el placer y el honor de participar en los talleres prácticos del Máster en Patrimonio Virtual de la Universidad de Alicante, del cual en este curso vuelvo a ser parte del claustro - El objetivo de las sesiones en las que he participado ha sido, al igual que en mi asignatura (motores de juego), proporcionar a los alumnos herramientas digitales con las que poder presentar de forma efectiva sus proyectos. ¡Muchas gracias a todos los asistentes, participantes y organizadores por hacer la jornada productiva y entrañable!"
2024-03-10 13:24:23,"Creación de un mando de tipo joystick con Arduino, conectado por puerto serie a un mini juego desarrollado en Python para controlar un Tie Fighter 
😊 |-O-| 😊"
2024-03-09 18:39:47,Tarde de Arduino (con el frío que hace)
2024-03-08 17:14:50,D.E.P. Akira Toriyama - Muchas gracias por todo y hasta siempre.
2024-02-25 19:27:36,Aplicación web para crear tus propios mapas mentales - úsala libremente en https://mindmap.jocarsa.com/
2024-02-03 17:49:05,Febrero
2024-02-01 12:26:02,Finalizando el curso de Blender nivel fundamental en @escuelamastermedia - capturas de los ejercicios realizados durante el curso
2024-01-14 17:37:06,Enero
2023-12-30 19:40:12,
2023-11-02 12:33:10,Finalización del curso de Blender Avanzado en @escuelamastermedia y ejemplos de ejercicios desarrollados durante el curso
2023-10-26 11:23:58,"En clase hoy, dentro del curso de Blender Avanzado en @escuelamastermedia , modelado y render de automóviles"
2023-10-20 11:26:53,"En clase hoy, segunda sesión del curso de Blender Avanzado en @escuelamastermedia modelado personajes cartoon con loops"
2023-09-29 11:33:20,Recopilación de ejercicios realizados durante el curso de Blender Nivel Fundamental en @escuelamastermedia
2023-09-15 21:47:50,"Nuevo juego en desarrollo, siguiendo con la temática “naves espaciales”, esta vez con un enfoque hacia la jugabilidad táctil para dispositivos móviles. Por el momento prototipo jugable en JavaScript, dentro de poco lo lanzaré como aplicación Android/iOS"
2023-09-14 11:02:42,Ya está disponible en Amazon mi libro acerca de cómo programar aplicaciones web con PHP y MySQL - Enlace directo: https://www.amazon.es/Desarrollo-aplicaciones-web-PHP-MySQL/dp/B0CDNQD7DL
2023-09-08 15:59:55,Inicio del nuevo curso
2023-09-01 22:08:45,"Noche de insomnio, aprovechando para adelantar el código de mi videojuego ""Gravity"", cuyo objetivo es mostrar de una forma lúdica y didáctica el efecto de la fuerza de la gravedad mientras manejas una nave espacial, destruyes rocas, e intentas no chocar contra los planetas. Un año de estos lo lanzaré en plataformas. Por el momento, se puede jugar libremente en https://jocarsa.com/go/gravity/ (flechas izquierda/derecha para girar, flecha superior para impulsar, barra espaciadora para disparar). Despegar es difícil, pero aterrizar de vuelta lo es más todavía :-)"
2023-08-28 18:09:44,"Presentamos una innovadora herramienta en el ámbito de la educación musical: el software de apoyo a la docencia musical con parrilla de acordes y representación pentagramática en clave de sol. Diseñado para enriquecer la experiencia de aprendizaje musical, este software ofrece una integración excepcional entre la teoría y la práctica, brindando a los educadores y estudiantes una plataforma interactiva de gran utilidad.

Una característica destacada de esta aplicación es su parrilla de acordes altamente funcional. Al acceder a una clase de música, los usuarios pueden visualizar los acordes representados en una parrilla intuitiva. Al interactuar con las cuerdas y los trastes, se despliega una representación gráfica de los acordes correspondientes. Esta funcionalidad no solo mejora la comprensión visual de la estructura de los acordes, sino que también fomenta la exploración y la experimentación en tiempo real.

La representación en el pentagrama en clave de sol añade una dimensión adicional a la enseñanza de la música. Los estudiantes pueden no solo identificar las notas individuales, sino también entender su relación dentro del contexto armónico de los acordes. Esto ofrece una oportunidad valiosa para apreciar la interconexión entre la teoría y la interpretación práctica, lo que resulta en un avance más sólido en la competencia musical.

En conclusión, el software de apoyo a la docencia musical con su innovadora parrilla de acordes y representación pentagramática en clave de sol demuestra ser una herramienta esencial para educadores y estudiantes por igual. Al fusionar de manera hábil la visualización gráfica con la notación musical, este software promueve un aprendizaje completo y duradero en el ámbito de la música. Su capacidad para enlazar teoría y práctica destaca su relevancia en la educación musical contemporánea y establece nuevos estándares en la manera en que abordamos la enseñanza de la música."
2023-08-25 18:02:13,"Empieza el curso aprendiendo a desarrollar aplicaciones informáticas en el lenguaje C y C++

Libros en formato físico y en formato Kindle ya disponibles directamente en Amazon, en los siguientes enlaces:

C: https://www.amazon.es/dp/B0BW23BW1M

C++: https://www.amazon.es/dp/B0BRH8Y5HK"
